sd_num,attn_dropout_a,attn_dropout_v,relu_dropout,embed_dropout,res_dropout,dst_feature_dim_nheads,batch_size,learning_rate,nlevels,conv1d_kernel_size_l,conv1d_kernel_size_a,conv1d_kernel_size_v,text_dropout,attn_dropout,output_dropout,grad_clip,patience,weight_decay,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
1024,0.2,0.0,0.1,0.0,0.0,"[40, 8]",16,4e-05,4,3,3,1,0.2,0.1,0.5,1.0,5,0.005,0.8163,0.8162,0.8354,0.8358,0.5204,0.4548,0.7495,0.7861,0.749
256,0.1,0.2,0.1,0.2,0.0,"[36, 6]",16,5e-05,4,1,3,1,0.1,0.5,0.5,0.6,5,0.005,0.828,0.8279,0.8445,0.8449,0.5335,0.465,0.7279,0.7924,0.727
1024,0.0,0.0,0.2,0.0,0.2,"[50, 10]",24,3e-05,4,1,3,1,0.5,0.4,0.2,0.8,5,0.005,0.7974,0.7972,0.814,0.8145,0.5044,0.4388,0.7679,0.7789,0.7639
512,0.1,0.0,0.1,0.1,0.1,"[32, 8]",24,3e-05,2,5,3,3,0.2,0.3,0.5,0.8,5,0.005,0.8222,0.8225,0.8354,0.8362,0.5015,0.4344,0.7793,0.7802,0.7767
512,0.0,0.2,0.2,0.1,0.2,"[40, 10]",24,3e-05,4,5,1,5,0.2,0.4,0.3,0.6,5,0.005,0.8178,0.8177,0.8338,0.8343,0.5321,0.465,0.7381,0.7877,0.7367
1024,0.2,0.2,0.2,0.2,0.2,"[30, 6]",16,3e-05,4,3,5,3,0.3,0.4,0.1,0.6,5,0.005,0.8105,0.8093,0.8308,0.8304,0.4971,0.4213,0.7815,0.7623,0.7808
256,0.1,0.2,0.2,0.1,0.1,"[32, 8]",16,5e-05,2,1,1,3,0.3,0.4,0.2,1.0,5,0.005,0.8149,0.8143,0.8338,0.834,0.4942,0.4329,0.781,0.7796,0.7803
256,0.0,0.0,0.0,0.2,0.2,"[32, 8]",24,4e-05,4,3,3,5,0.1,0.4,0.3,0.8,5,0.005,0.8149,0.8145,0.8308,0.831,0.5146,0.4402,0.77,0.7735,0.7676
512,0.0,0.0,0.2,0.2,0.2,"[40, 8]",24,3e-05,6,5,1,1,0.1,0.1,0.5,0.6,5,0.005,0.8149,0.8146,0.8308,0.8311,0.5073,0.4402,0.7545,0.784,0.7508
512,0.1,0.2,0.0,0.1,0.2,"[50, 10]",16,4e-05,6,3,3,5,0.2,0.2,0.5,0.8,5,0.005,0.8178,0.8168,0.8369,0.8366,0.5277,0.4519,0.74,0.7857,0.7394
1024,0.1,0.2,0.2,0.1,0.1,"[50, 10]",16,4e-05,6,1,5,1,0.2,0.3,0.1,1.0,5,0.005,0.8192,0.8193,0.8384,0.839,0.5,0.4344,0.758,0.7831,0.7573
512,0.0,0.0,0.1,0.1,0.2,"[50, 10]",24,3e-05,6,3,3,1,0.2,0.4,0.5,0.6,5,0.005,0.8236,0.8233,0.8415,0.8417,0.5408,0.4606,0.7493,0.7877,0.7458
512,0.1,0.0,0.1,0.0,0.0,"[36, 6]",24,3e-05,4,5,1,1,0.2,0.5,0.5,0.6,5,0.005,0.8178,0.8173,0.8369,0.837,0.5175,0.4446,0.7427,0.784,0.7388
512,0.1,0.0,0.0,0.0,0.1,"[40, 8]",16,5e-05,4,5,5,1,0.1,0.5,0.2,0.6,5,0.005,0.8149,0.815,0.8308,0.8314,0.5102,0.4388,0.7398,0.7856,0.7392
